panel,date,t,value
4a,2000-02-14 00:00:00,0.123203285420945,0.203194588422775
4a,2000-03-20 13:30:00,0.22056810403833,0.416166961193085
4a,2000-04-21 01:30:00,0.306810403832991,0.285783320665359
4a,2000-05-16 13:30:00,0.37662559890486,0.246082842350006
4a,2000-06-01 01:30:00,0.419062286105407,0.208078354597092
4a,2000-07-08 01:30:00,0.520362765229295,0.214651614427567
4a,2000-08-30 06:00:00,0.665982203969884,0.234775692224503
4a,2000-09-07 06:00:00,0.68788501026694,0.378111720085144
4a,2000-10-01 04:30:00,0.753422313483915,0.411213636398315
4a,2000-11-06 13:30:00,0.853011635865845,0.289535343647003
4a,2000-12-29 01:30:00,0.996748802190281,0.397315800189972
4a,2001-01-13 22:30:00,0.0381587953456537,0.302191108465195
4a,2001-02-05 03:00:00,0.0989048596851472,0.229640319943428
4a,2001-03-20 16:30:00,0.220910335386721,0.741212487220764
4a,2001-04-05 12:00:00,0.264202600958248,0.255517661571503
4a,2001-05-08 06:00:00,0.353867214236824,0.344776779413223
4a,2001-06-19 15:00:00,0.469883641341547,0.140937358140945
4a,2001-07-22 06:00:00,0.559206023271732,0.33348086476326
4a,2001-08-01 04:30:00,0.586413415468857,0.279833793640137
4a,2001-09-16 04:30:00,0.712354551676934,0.471781194210052
4a,2001-10-02 04:30:00,0.756160164271047,0.216283082962036
4a,2001-11-15 16:30:00,0.877994524298426,0.337363243103027
4a,2001-12-10 13:30:00,0.946098562628337,0.256290793418884
4a,2002-01-03 04:30:00,0.00872689938398357,0.291424751281738
4a,2002-02-07 04:30:00,0.104551676933607,0.281967997550964
4a,2002-03-28 16:30:00,0.242813141683778,0.224516853690147
4a,2002-04-06 01:30:00,0.26574264202601,0.210055947303772
4a,2002-05-22 21:00:00,0.393908281998631,0.267498791217804
4a,2002-06-22 07:30:00,0.477241615331964,0.255052000284195
4a,2002-07-14 01:30:00,0.536789869952088,0.212985098361969
4a,2002-08-07 15:00:00,0.60403832991102,0.304916203022003
4a,2002-09-30 04:30:00,0.750684462696783,0.267502874135971
4a,2002-10-16 04:30:00,0.794490075290897,0.511121153831482
4a,2002-11-06 03:00:00,0.851813826146475,0.256396293640137
4a,2002-12-13 16:30:00,0.954654346338125,0.367185592651367
4a,2003-01-23 12:00:00,0.0643394934976044,0.212155491113663
4a,2003-02-27 04:30:00,0.159308692676249,0.290208995342255
4a,2003-03-20 07:30:00,0.219883641341547,0.362085223197937
4a,2003-04-10 06:00:00,0.277207392197125,0.357280969619751
4a,2003-05-05 06:00:00,0.345653661875428,0.359813779592514
4a,2003-06-22 01:30:00,0.476557152635181,0.223838061094284
4a,2003-07-02 06:00:00,0.50444900752909,0.162069469690323
4a,2003-08-21 01:30:00,0.640828199863107,0.116076469421387
4a,2003-09-12 04:30:00,0.701403148528405,0.312824010848999
4a,2003-10-14 13:30:00,0.790041067761807,0.248656883835793
4a,2003-11-10 04:30:00,0.862936344969199,0.295652031898499
4a,2003-12-04 16:30:00,0.930013689253936,0.349107414484024
4a,2004-01-26 00:00:00,0.0711841204654346,0.282483220100403
4a,2004-02-26 09:00:00,0.157084188911704,0.570697546005249
4a,2004-03-31 16:30:00,0.251026694045175,0.271964311599731
4a,2004-04-13 16:30:00,0.286618754277892,0.302440315485001
4a,2004-05-30 10:30:00,0.414613278576318,0.163519129157066
4a,2004-06-21 19:30:00,0.475872689938398,0.277598232030869
4a,2004-07-31 10:30:00,0.584360027378508,0.203952208161354
4a,2004-08-14 13:30:00,0.623032169746749,0.393100559711456
4a,2004-09-21 06:00:00,0.72621492128679,0.414408147335052
4a,2004-10-23 13:30:00,0.814681724845996,0.322760224342346
4a,2004-11-28 04:30:00,0.912217659137577,0.22944438457489
4a,2004-12-26 10:30:00,0.989561943874059,0.292868614196777
4a,2005-01-16 10:30:00,0.0450034223134839,0.214862763881683
4a,2005-02-28 07:30:00,0.162388774811773,0.665023744106293
4a,2005-03-28 04:30:00,0.241444216290212,0.493536055088043
4a,2005-04-15 06:00:00,0.290896646132786,0.351542860269547
4a,2005-05-06 03:00:00,0.348049281314168,0.308068662881851
4a,2005-06-20 01:30:00,0.471081451060917,0.312299281358719
4a,2005-07-25 04:30:00,0.567248459958932,0.188625112175941
4a,2005-08-26 04:30:00,0.65485968514716,0.298027992248535
4a,2005-09-07 06:00:00,0.68788501026694,0.427871763706207
4a,2005-10-06 04:30:00,0.767111567419576,0.558708250522614
4a,2005-11-21 18:00:00,0.894592744695414,0.213118836283684
4a,2005-12-15 13:30:00,0.959787816563997,0.284577429294586
4a,2006-01-07 00:00:00,0.0191649555099247,0.269608527421951
4a,2006-02-26 13:30:00,0.157597535934292,0.304655015468597
4a,2006-03-21 13:30:00,0.223305954825462,0.260124683380127
4a,2006-04-30 06:00:00,0.331964407939767,0.310513257980347
4a,2006-05-01 16:30:00,0.33590006844627,0.289016753435135
4a,2006-06-06 10:30:00,0.433778234086242,0.169906690716743
4a,2006-07-08 06:00:00,0.520876112251882,0.177823901176453
4a,2006-08-31 16:30:00,0.669917864476386,0.304726302623749
4a,2006-09-12 04:30:00,0.701403148528405,0.331671535968781
4a,2006-10-28 00:00:00,0.826830937713895,0.283046901226044
4a,2006-11-22 04:30:00,0.895790554414784,0.371682345867157
4a,2006-12-25 13:30:00,0.987166324435318,0.303793251514435
4a,2007-01-18 09:00:00,0.0503080082135524,0.214500248432159
4a,2007-02-02 10:30:00,0.0915468856947296,0.30290275812149
4a,2007-03-01 16:30:00,0.168891170431211,0.24058224260807
4a,2007-04-19 06:00:00,0.301848049281314,0.350687503814697
4a,2007-05-08 16:30:00,0.355065023956194,0.68430107831955
4a,2007-06-03 00:00:00,0.424366872005476,0.476791620254517
4a,2007-07-03 01:30:00,0.506673511293634,0.278640270233154
4a,2007-08-31 06:00:00,0.668720054757016,0.234343722462654
4a,2007-09-20 04:30:00,0.723305954825462,0.319021463394165
4a,2007-10-01 07:30:00,0.753764544832307,0.355020135641098
4a,2007-11-02 13:30:00,0.842060232717317,0.379508554935455
4a,2007-12-21 22:30:00,0.977241615331964,0.350270241498947
4a,2008-01-17 12:00:00,0.0479123887748118,0.350046336650848
4a,2008-02-13 07:30:00,0.121321013004791,0.234018087387085
4a,2008-03-07 19:30:00,0.185660506502396,0.246908709406853
4a,2008-04-23 15:00:00,0.313826146475017,0.306109309196472
4a,2008-05-11 18:00:00,0.363449691991786,0.342777192592621
4a,2008-06-19 01:30:00,0.468343600273785,0.272343814373016
4a,2008-07-18 18:00:00,0.549623545516769,0.223822951316833
4a,2008-08-22 04:30:00,0.643908281998631,0.378689825534821
4a,2008-09-05 22:30:00,0.68429158110883,0.478603661060333
4a,2008-10-24 18:00:00,0.817932922655715,0.404744923114777
4a,2008-11-05 13:30:00,0.850273785078713,0.219135969877243
4a,2008-12-11 18:00:00,0.949349760438056,0.152229025959969
4a,2009-01-13 12:00:00,0.0369609856262834,0.238504663109779
4a,2009-02-18 13:30:00,0.135694729637235,0.158691361546516
4a,2009-03-13 06:00:00,0.200547570157426,0.294340401887894
4a,2009-04-03 06:00:00,0.258042436687201,0.400543332099915
4a,2009-05-19 06:00:00,0.383983572895277,0.474637389183044
4a,2009-06-18 01:30:00,0.465605749486653,0.322857648134232
4a,2009-07-10 18:00:00,0.527720739219713,0.250414162874222
4a,2009-08-28 16:30:00,0.66170431211499,0.206967175006866
4a,2009-09-03 04:30:00,0.676762491444216,0.288446485996246
4a,2009-10-31 03:00:00,0.835386721423682,0.234427690505981
4a,2009-11-22 22:30:00,0.897843942505133,0.327500939369202
4a,2009-12-18 22:30:00,0.969028062970568,0.652662575244904
4a,2010-01-30 10:30:00,0.0833333333333333,0.391608774662018
4a,2010-02-13 09:00:00,0.121492128678987,0.479304134845734
4a,2010-03-02 19:30:00,0.171971252566735,0.409696340560913
4a,2010-04-19 06:00:00,0.301848049281314,0.230202734470367
4a,2010-05-26 16:30:00,0.404346338124572,0.355675637722015
4a,2010-06-17 13:30:00,0.464236824093087,0.122511193156242
4a,2010-07-31 18:00:00,0.585215605749487,0.22861585021019
4a,2010-08-15 06:00:00,0.624914442162902,0.271744191646576
4a,2010-09-02 18:00:00,0.675564681724846,0.286722898483276
4a,2010-10-03 04:30:00,0.758898015058179,0.272068113088608
4a,2010-11-04 13:30:00,0.847535934291581,0.340257585048676
4a,2010-12-26 13:30:00,0.98990417522245,0.403364062309265
4a,2011-01-10 22:30:00,0.0299452429842574,0.2836092710495
4a,2011-02-24 04:30:00,0.151095140314853,0.228883355855942
4a,2011-03-04 04:30:00,0.175735797399042,0.340527653694153
4a,2011-04-16 04:30:00,0.293463381245722,0.285906076431274
4a,2011-05-13 21:00:00,0.369267624914442,0.291708827018738
4a,2011-06-07 01:30:00,0.4354893908282,0.223402515053749
4a,2011-07-15 16:30:00,0.541238877481177,0.37396776676178
4a,2011-08-26 18:00:00,0.656399726214921,0.35856568813324
4a,2011-09-19 07:30:00,0.720910335386721,0.258802682161331
4a,2011-10-11 03:00:00,0.78062970568104,0.524612963199615
4a,2011-11-06 04:30:00,0.851984941820671,0.433910131454468
4a,2011-12-27 10:30:00,0.992299794661191,0.248396664857864
4a,2012-01-11 18:00:00,0.0321697467488022,0.211545705795288
4a,2012-02-19 16:30:00,0.138774811772758,0.260926485061646
4a,2012-03-27 16:30:00,0.240075290896646,0.253466248512268
4a,2012-04-07 01:30:00,0.268480492813142,0.370698153972626
4a,2012-05-27 12:00:00,0.406570841889117,0.441030919551849
4a,2012-06-27 10:30:00,0.491273100616016,0.421137034893036
4a,2012-07-13 06:00:00,0.534565366187543,0.126214027404785
4a,2012-08-27 06:00:00,0.657768651608487,0.204361736774445
4a,2012-09-13 04:30:00,0.704140999315537,0.229857489466667
4a,2012-10-27 16:30:00,0.825975359342916,0.513792753219604
4a,2012-11-06 19:30:00,0.853696098562628,0.336126804351807
4a,2012-12-07 04:30:00,0.936858316221766,0.209898412227631
4a,2013-01-19 00:00:00,0.0520191649555099,0.211332410573959
4a,2013-02-26 12:00:00,0.157426420260096,0.435206055641174
4a,2013-03-24 16:30:00,0.23186173853525,0.343046754598618
4a,2013-04-22 06:00:00,0.31006160164271,0.440955817699432
4a,2013-05-04 06:00:00,0.342915811088296,0.566448092460632
4a,2013-06-07 04:30:00,0.435831622176591,0.363466203212738
4a,2013-07-27 07:30:00,0.573066392881588,0.200148522853851
4a,2013-08-26 06:00:00,0.655030800821355,0.25730437040329
4a,2013-09-25 13:30:00,0.738021902806297,0.28862053155899
4a,2013-10-16 04:30:00,0.794490075290897,0.300034940242767
4a,2013-11-20 13:30:00,0.891341546885695,0.27194881439209
4a,2013-12-04 03:00:00,0.928473648186174,0.253099977970123
4a,2014-01-05 07:30:00,0.0145448323066393,0.260960578918457
4a,2014-02-12 22:30:00,0.120294318959617,0.371227085590363
4a,2014-03-06 22:30:00,0.183264887063655,0.383558571338654
4a,2014-04-19 04:30:00,0.301676933607118,0.33942836523056
4a,2014-05-31 19:30:00,0.418377823408624,0.205737769603729
4a,2014-06-01 06:00:00,0.419575633127995,0.315517067909241
4a,2014-07-03 13:30:00,0.508042436687201,0.349473774433136
4a,2014-08-25 06:00:00,0.652292950034223,0.39211118221283
4a,2014-09-20 07:30:00,0.723648186173854,0.322648644447327
4a,2014-10-31 16:30:00,0.836926762491444,0.26200258731842
4a,2014-11-11 07:30:00,0.866016427104723,0.288853287696838
4a,2014-12-09 07:30:00,0.942676249144422,0.350371241569519
4a,2015-01-24 00:00:00,0.0657084188911704,0.221007943153381
4a,2015-02-11 19:30:00,0.117214236824093,0.296212941408157
4a,2015-03-24 06:00:00,0.23066392881588,0.344025403261185
4a,2015-04-30 06:00:00,0.331964407939767,0.357883274555206
4a,2015-05-08 06:00:00,0.353867214236824,0.303400278091431
4a,2015-06-07 19:30:00,0.437542778918549,0.201908767223358
4a,2015-07-25 19:30:00,0.56895961670089,0.29684767127037
4a,2015-08-31 06:00:00,0.668720054757016,0.280486345291138
4a,2015-09-24 06:00:00,0.734428473648186,0.40362823009491
4a,2015-10-04 06:00:00,0.761806981519507,0.585813522338867
4a,2015-11-09 04:30:00,0.860198494182067,0.352143108844757
4a,2015-12-05 06:00:00,0.931553730321697,0.150796502828598
4a,2016-01-08 04:30:00,0.0224161533196441,0.324909567832947
4a,2016-02-16 07:30:00,0.129534565366188,0.252575099468231
4a,2016-03-19 04:30:00,0.216803559206023,0.27700400352478
4a,2016-04-15 16:30:00,0.292094455852156,0.37863564491272
4a,2016-05-01 06:00:00,0.334702258726899,0.271188259124756
4a,2016-06-19 06:00:00,0.468856947296372,0.341238737106323
4a,2016-07-23 07:30:00,0.56211498973306,0.10265239328146
4a,2016-08-04 18:00:00,0.596167008898015,0.238744050264359
4a,2016-09-02 18:00:00,0.675564681724846,0.44387423992157
4a,2016-10-08 06:00:00,0.772758384668036,1.3594024181366
4a,2016-11-05 07:30:00,0.84958932238193,0.292991578578949
4a,2016-12-06 09:00:00,0.934633812457221,0.228763431310654
4a,2017-01-23 04:30:00,0.0634839151266256,0.376699984073639
4a,2017-02-23 18:00:00,0.149897330595483,0.281293094158173
4a,2017-03-31 04:30:00,0.249657768651608,0.288962244987488
4a,2017-04-24 16:30:00,0.316735112936345,0.306848764419556
4a,2017-05-05 06:00:00,0.345653661875428,0.403980493545532
4a,2017-06-08 18:00:00,0.440109514031485,0.358818888664246
4a,2017-07-31 19:30:00,0.585386721423682,0.302471220493317
4a,2017-08-28 07:30:00,0.660677618069815,0.430149018764496
4a,2017-09-11 19:30:00,0.700376454483231,0.966915607452393
4a,2017-10-17 13:30:00,0.798254620123203,0.307552754878998
4a,2017-11-11 07:30:00,0.866016427104723,0.333731472492218
4a,2017-12-09 09:00:00,0.942847364818617,0.353616893291473
4a,2018-01-04 00:00:00,0.0109514031485284,0.211014062166214
4a,2018-02-27 18:00:00,0.160848733744011,0.278335094451904
4a,2018-03-06 19:30:00,0.182922655715264,0.398987948894501
4a,2018-04-24 00:00:00,0.314852840520192,0.449013829231262
4a,2018-05-08 19:30:00,0.355407255304586,0.188490375876427
4a,2018-06-06 19:30:00,0.434804928131417,0.250503361225128
4a,2018-07-09 06:00:00,0.523613963039014,0.204780116677284
4a,2018-08-25 04:30:00,0.652121834360027,0.284053534269333
4a,2018-09-13 19:30:00,0.705852156057495,0.274717748165131
4a,2018-10-26 13:30:00,0.822895277207392,0.376659214496613
4a,2018-11-24 06:00:00,0.901437371663244,0.439705014228821
4a,2018-12-09 18:00:00,0.943874058863792,0.446808278560638
4a,2019-01-05 01:30:00,0.0138603696098563,0.232944875955582
4a,2019-02-20 04:30:00,0.140143737166324,0.310667246580124
4a,2019-03-27 18:00:00,0.240246406570842,0.293863922357559
4a,2019-04-02 07:30:00,0.255475701574264,0.320144653320312
4a,2019-05-16 06:00:00,0.375770020533881,0.252344965934753
4a,2019-06-04 18:00:00,0.429158110882957,0.222284629940987
4a,2019-07-02 19:30:00,0.505989048596851,0.219063520431519
4a,2019-08-26 07:30:00,0.655201916495551,0.284044116735458
4a,2019-09-05 07:30:00,0.682580424366872,0.84205174446106
4a,2019-10-20 00:00:00,0.804928131416838,0.376121699810028
4a,2019-11-17 19:30:00,0.883812457221081,0.414534509181976
4a,2019-12-24 06:00:00,0.983572895277207,0.419916450977325
4a,2020-01-22 18:00:00,0.0622861054072553,0.441682398319244
4a,2020-02-01 06:00:00,0.0882956878850103,0.247560203075409
4a,2020-03-06 03:00:00,0.18104038329911,0.294110268354416
4a,2020-04-05 07:30:00,0.263689253935661,0.273122489452362
4a,2020-05-27 06:00:00,0.405886379192334,0.391926348209381
4a,2020-06-16 19:30:00,0.462183436002738,0.215300977230072
4a,2020-07-09 19:30:00,0.525154004106776,0.19657427072525
4a,2020-08-03 21:00:00,0.593771389459274,0.461916446685791
4a,2020-09-21 04:30:00,0.726043805612594,0.428257763385773
4a,2020-10-06 19:30:00,0.768822724161533,0.265867739915848
4a,2020-11-09 04:30:00,0.860198494182067,0.336495518684387
4a,2020-12-16 07:30:00,0.961841204654346,0.38201493024826
4a,2021-01-08 03:00:00,0.0222450376454483,0.322445034980774
4a,2021-02-07 07:30:00,0.104893908281999,0.303163826465607
4a,2021-03-21 06:00:00,0.222450376454483,0.490102052688599
4a,2021-04-16 18:00:00,0.295003422313484,0.288161396980286
4a,2021-05-13 18:00:00,0.368925393566051,0.260302752256393
4a,2021-06-14 18:00:00,0.456536618754278,0.303992867469788
4a,2021-07-08 06:00:00,0.520876112251882,0.267702668905258
4a,2021-08-03 19:30:00,0.593600273785079,0.170354232192039
4a,2021-09-19 18:00:00,0.722108145106092,0.287851542234421
4a,2021-10-28 22:30:00,0.829397672826831,0.38724958896637
4a,2021-11-06 19:30:00,0.853696098562628,0.431104242801666
4a,2021-12-21 19:30:00,0.976899383983573,0.318564057350159
4a,2022-01-16 18:00:00,0.0458590006844627,0.684003829956055
4a,2022-02-06 16:30:00,0.103182751540041,0.208306208252907
4a,2022-03-12 03:00:00,0.197467488021903,0.241794660687447
4a,2022-04-18 16:30:00,0.300308008213552,0.304436028003693
4a,2022-05-11 19:30:00,0.363620807665982,0.430092990398407
4a,2022-06-05 18:00:00,0.431895961670089,0.330523192882538
4a,2022-07-12 06:00:00,0.531827515400411,0.271470367908478
4a,2022-08-18 18:00:00,0.634496919917864,0.28529354929924
4a,2022-09-30 04:30:00,0.750684462696783,0.60222977399826
4a,2022-10-30 16:30:00,0.834188911704312,0.27398294210434
4a,2022-11-10 18:00:00,0.864476386036961,0.643279910087585
4a,2022-12-22 04:30:00,0.977926078028747,0.419827401638031
4a,2023-01-15 19:30:00,0.0432922655715264,0.229768291115761
4a,2023-02-12 04:30:00,0.118240930869268,0.37282532453537
4a,2023-03-12 19:30:00,0.199349760438056,0.387468993663788
4a,2023-04-10 06:00:00,0.277207392197125,0.453781127929688
4a,2023-05-27 19:30:00,0.407426420260096,0.521194577217102
4a,2023-06-05 06:00:00,0.430527036276523,0.459612131118774
4a,2023-07-23 19:30:00,0.563483915126626,0.21207569539547
4a,2023-08-31 00:00:00,0.668035592060233,0.407932579517365
4a,2023-09-28 04:30:00,0.745208761122519,0.364276766777039
4a,2023-10-12 18:00:00,0.78507871321013,0.524297118186951
4a,2023-11-17 06:00:00,0.88227241615332,0.288920402526855
4a,2023-12-17 16:30:00,0.965605749486653,0.75559675693512
4a,2024-01-09 13:30:00,0.0261806981519507,0.391999185085297
4a,2024-02-05 07:30:00,0.0994182067077344,0.568296432495117
4a,2024-03-26 04:30:00,0.235968514715948,0.319183588027954
4a,2024-04-11 16:30:00,0.281143052703628,0.354906290769577
4a,2024-05-21 01:30:00,0.388945927446954,0.290939509868622
4a,2024-06-14 06:00:00,0.455167693360712,0.243248045444489
4a,2024-07-02 15:00:00,0.505475701574264,0.167841881513596
4a,2024-08-06 13:30:00,0.601129363449692,0.349502325057983
4a,2024-09-27 09:00:00,0.742984257357974,0.826032757759094
4a,2024-10-10 13:30:00,0.779089664613279,0.538301765918732
4a,2024-11-14 03:00:00,0.873716632443532,0.321203589439392
4a,2024-12-26 13:30:00,0.98990417522245,0.176519811153412
4b,1993-01-16 16:30:00,0.0456878850102669,0.0896265655755997
4b,1993-02-27 01:30:00,0.158966461327858,0.18902413547039
4b,1993-03-13 16:30:00,0.201745379876797,0.201720237731934
4b,1993-04-24 16:30:00,0.316735112936345,0.30973345041275
4b,1993-05-17 15:00:00,0.379534565366188,0.298925548791885
4b,1993-06-10 04:30:00,0.444045174537988,0.184464037418365
4b,1993-07-01 04:30:00,0.501540041067762,0.0901869684457779
4b,1993-08-24 04:30:00,0.649383983572895,0.148699820041656
4b,1993-09-13 16:30:00,0.705509924709103,0.396487712860107
4b,1993-10-13 15:00:00,0.787474332648871,0.422461479902267
4b,1993-11-03 16:30:00,0.84514031485284,0.312185376882553
4b,1993-12-25 16:30:00,0.98750855578371,0.237761959433556
4b,1994-01-06 16:30:00,0.0183093771389459,0.516875624656677
4b,1994-02-03 16:30:00,0.0949691991786448,0.391703337430954
4b,1994-03-31 16:30:00,0.251026694045175,0.132706820964813
4b,1994-04-23 16:30:00,0.313997262149213,0.309633582830429
4b,1994-05-21 04:30:00,0.389288158795346,0.279500424861908
4b,1994-06-24 13:30:00,0.483401779603012,0.121353954076767
4b,1994-07-31 13:30:00,0.584702258726899,0.114902511239052
4b,1994-08-10 15:00:00,0.612251882272416,0.226871520280838
4b,1994-09-14 15:00:00,0.70807665982204,0.278846621513367
4b,1994-10-22 16:30:00,0.812286105407255,0.29628387093544
4b,1994-11-03 16:30:00,0.84514031485284,0.289754003286362
4b,1994-12-30 16:30:00,1.00119780971937,0.2367242872715
4b,1995-01-18 16:30:00,0.0511635865845311,0.267839163541794
4b,1995-02-25 16:30:00,0.155201916495551,0.289950132369995
4b,1995-03-10 16:30:00,0.1935318275154,0.264318943023682
4b,1995-04-19 04:30:00,0.301676933607118,0.204325899481773
4b,1995-05-12 04:30:00,0.364647501711157,0.257585823535919
4b,1995-06-30 03:00:00,0.498631074606434,0.111578702926636
4b,1995-07-03 13:30:00,0.508042436687201,0.14518141746521
4b,1995-08-18 04:30:00,0.632956878850103,0.0953203737735748
4b,1995-09-07 16:30:00,0.689082819986311,0.324630856513977
4b,1995-10-24 16:30:00,0.817761806981519,0.228199005126953
4b,1995-11-11 16:30:00,0.867043121149897,0.33493760228157
4b,1995-12-26 03:00:00,0.98870636550308,0.389679044485092
4b,1996-01-06 16:30:00,0.0183093771389459,0.479247868061066
4b,1996-02-06 06:00:00,0.101984941820671,0.314067989587784
4b,1996-03-13 16:30:00,0.201745379876797,0.328598767518997
4b,1996-04-01 04:30:00,0.252395619438741,0.248954638838768
4b,1996-05-02 16:30:00,0.338637919233402,0.328714221715927
4b,1996-06-21 03:00:00,0.473990417522245,0.13184443116188
4b,1996-07-07 04:30:00,0.517967145790554,0.191311970353127
4b,1996-08-23 03:00:00,0.646475017111567,0.140449389815331
4b,1996-09-19 03:00:00,0.720396988364134,0.34346279501915
4b,1996-10-13 16:30:00,0.787645448323066,0.310442358255386
4b,1996-11-19 16:30:00,0.888945927446954,0.412703484296799
4b,1996-12-21 03:00:00,0.97501711156742,0.380437821149826
4b,1997-01-08 16:30:00,0.0237850787132101,0.27204367518425
4b,1997-02-14 16:30:00,0.125085557837098,0.20550549030304
4b,1997-03-24 16:30:00,0.23186173853525,0.0644124448299408
